UniqueID,Gene.Name,U1-WT-500-BIO2197294_vs_DMSO_logFC,P.Value.x,Adj.P.Value.x,U1-WT-500-BIO2197294_vs_WT-500_logFC,P.Value.y,Adj.P.Value.y,U1-WT-500-Branaplam_vs_DMSO_logFC,P.Value.x.1,Adj.P.Value.x.1,U1-WT-500-Branaplam_vs_WT-500_logFC,P.Value.y.1,Adj.P.Value.y.1
ENSG00000109920.13,FNBP4,1.40299987050332,3.04549932534364e-14,3.76497839876477e-12,1.41376444779946,1.82971866215634e-14,3.62348495761767e-12,NA,NA,NA,NA,NA,NA
ENSG00000167992.13,VWCE,1.40150121370403,0.000282362472707355,0.00308722469574513,1.75801355971457,1.50691794549717e-05,0.000240255505208646,NA,NA,NA,NA,NA,NA
ENSG00000122641.11,INHBA,1.40069806437462,0.000914984352262361,0.00844670461896881,NA,NA,NA,0.0481628014003623,0.00368416299029633,0.467682080740075,NA,NA,NA
ENSG00000250979.1,AC022905.1,1.39997030882266,0.00956786081126982,0.0598535656908486,1.33487337572267,0.0109277167607829,0.0620951758347431,NA,NA,NA,NA,NA,NA
ENSG00000240429.1,LRRFIP1P1,1.39973275410031,5.98691574224927e-07,1.35650120990175e-05,1.59467421118411,1.67340232154404e-08,5.81211243248896e-07,NA,NA,NA,NA,NA,NA
ENSG00000259319.1,AF111167.2,-1.39889205775585,1.78733003097014e-05,0.000272769210800897,-0.295517969101389,0.32586319978372,0.797888165741192,-0.109553330793421,0.01333644833233,0.903522586764325,NA,NA,NA
ENSG00000273056.1,AL354694.1,1.39625280113064,0.0010013032868898,0.00911747907177719,0.669778229287758,0.0466597305605772,0.197079527995433,NA,NA,NA,NA,NA,NA
ENSG00000230873.9,STMND1,1.3930282283016,5.62855507956989e-09,2.08087325054036e-07,1.18337878561947,7.42958739057453e-07,1.69595920050162e-05,NA,NA,NA,NA,NA,NA
ENSG00000101306.11,MYLK2,1.39301930942556,0.000105312745033147,0.00130884696154228,0.553607651100285,0.0727994037541291,0.27704536240252,1.209382383383,0.000586901672831045,0.140956299636529,NA,NA,NA
ENSG00000133710.16,SPINK5,1.39269971758317,2.25948466416117e-09,9.1090569629267e-08,1.31792982629978,1.70884723369907e-08,5.9261037093687e-07,NA,NA,NA,NA,NA,NA
ENSG00000278012.1,AL031658.2,1.39166291505856,0.024525854691996,0.127747629024032,0.338503223719436,0.0454635361197188,0.193427882566678,NA,NA,NA,NA,NA,NA
ENSG00000255655.1,AC007570.1,1.39034167222779,0.0173646214952407,0.0968547102497732,0.665942997708678,0.032476554535213,0.148179202745952,NA,NA,NA,NA,NA,NA
ENSG00000278619.5,MRM1,1.38912396882471,3.05641210970171e-11,1.96189749843902e-09,1.18590872262878,2.20708921733643e-08,7.39276649415241e-07,NA,NA,NA,NA,NA,NA
ENSG00000197808.12,ZNF461,1.38874514920559,2.08384676397552e-14,2.67522415605978e-12,1.18962670328623,1.11472531076794e-10,6.91374687249918e-09,NA,NA,NA,NA,NA,NA
ENSG00000159708.18,LRRC36,1.38769861184987,0.0002503929081251,0.00278326845782253,1.12689624449072,0.00182393486314793,0.0143784391021484,NA,NA,NA,NA,NA,NA
ENSG00000260121.1,AC138028.4,1.38659191023829,0.00475793589236776,0.0332344311286017,NA,NA,NA,0.0414734720004618,0.00451509403675689,0.509663814869117,NA,NA,NA
ENSG00000170631.15,ZNF16,1.38381496826412,1.93668739085347e-12,1.58219233871648e-10,1.37852488170558,2.38681559122314e-12,2.48316814688726e-10,NA,NA,NA,NA,NA,NA
ENSG00000124215.17,CDH26,1.38340463409272,1.81047964949156e-05,0.000275941663472736,0.930066405136924,0.00252621667790395,0.0188099827573745,NA,NA,NA,NA,NA,NA
ENSG00000271848.2,AC073389.2,1.38255578569378,0.00646971419844747,0.0431776270341974,1.34123240760076,0.00730639942588495,0.0442140484217982,NA,NA,NA,NA,NA,NA
ENSG00000068976.14,PYGM,1.38148608756612,0.000546781733404341,0.00547836843953363,NA,NA,NA,0.0487190085194203,0.0156650668414769,0.963586207748927,NA,NA,NA
ENSG00000287022.1,AC079841.2,1.37821785124921,0.000144175069042015,0.00172485944094556,0.503363831620175,0.0989173805428321,0.347065937255395,0.0773673853793413,0.00639592265661107,0.612294644416323,NA,NA,NA
ENSG00000043514.17,TRIT1,1.37754891983298,1.48790395897961e-16,3.37523067976297e-14,1.25926985455317,8.27845176770221e-14,1.33495947934032e-11,NA,NA,NA,NA,NA,NA
ENSG00000204172.12,AGAP9,1.3774540082529,1.2851989163167e-09,5.52476405255343e-08,1.43106224856913,2.56977001876391e-10,1.4219394103827e-08,NA,NA,NA,NA,NA,NA
ENSG00000140451.13,PIF1,1.37570405226531,2.91843217059053e-07,7.08091045335905e-06,1.50318565774921,2.07067225452084e-08,6.96684006230441e-07,NA,NA,NA,NA,NA,NA
ENSG00000102786.15,INTS6,1.37562913712064,2.59194702456456e-16,5.42545360451337e-14,1.14480708905435,2.84425527342836e-11,2.10530842796455e-09,NA,NA,NA,NA,NA,NA
ENSG00000179348.12,GATA2,1.37512877651714,1.16806657543784e-18,4.96215918820093e-16,0.898852575189892,7.0088380625311e-08,2.04697966493793e-06,NA,NA,NA,NA,NA,NA
