,SH_BIO_2196772_10x_vs_SH_Risdiplam_10x,SH_BIO_2207180_10x_vs_SH_Risdiplam_10x,SH_BIO_2178782_10x_vs_SH_Risdiplam_10x,SH_BIO_2196895_10x_vs_SH_Risdiplam_10x,SH_BIO_2197306_10x_vs_SH_Risdiplam_10x,SH_BIO_2204984_10x_vs_SH_Risdiplam_10x,SH_BIO_2199562_10x_vs_SH_Risdiplam_10x,SH_BIO_2196772_3x_vs_SH_Risdiplam_3x,SH_BIO_2207180_3x_vs_SH_Risdiplam_3x,SH_BIO_2178782_3x_vs_SH_Risdiplam_3x,SH_BIO_2196895_3x_vs_SH_Risdiplam_3x,SH_BIO_2197306_3x_vs_SH_Risdiplam_3x,SH_BIO_2204984_3x_vs_SH_Risdiplam_3x,SH_BIO_2199562_3x_vs_SH_Risdiplam_3x,SH_BIO_2196772_3x_vs_SH_DMSO,SH_BIO_1949634_3x_vs_SH_DMSO,SH_BIO_2207180_3x_vs_SH_DMSO,SH_BIO_2178782_3x_vs_SH_DMSO,SH_BIO_2196895_3x_vs_SH_DMSO,SH_BIO_2197306_3x_vs_SH_DMSO,SH_BIO_2204984_3x_vs_SH_DMSO,SH_BIO_2199562_3x_vs_SH_DMSO,SH_BIO_2196772_10x_vs_SH_DMSO,SH_BIO_1949634_10x_vs_SH_DMSO,SH_BIO_2207180_10x_vs_SH_DMSO,SH_BIO_2178782_10x_vs_SH_DMSO,SH_BIO_2196895_10x_vs_SH_DMSO,SH_BIO_2197306_10x_vs_SH_DMSO,SH_BIO_2204984_10x_vs_SH_DMSO,SH_BIO_2199562_10x_vs_SH_DMSO
ARAP3,-0.771484018122081,NA,NA,NA,NA,-0.622200464476735,-0.587262615984759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.763590768161265,NA,NA,NA,NA,NA,-0.604643104748614,NA
ANXA6,-0.84308200330233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.973701335705927,NA,NA,NA,NA,NA,NA,NA
HAVCR2,NA,NA,NA,NA,NA,-2.50160136635285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79902013057996,NA,NA,NA,NA,NA,4.35636717447975,NA,4.76245936983252,4.15362480725857,4.19823380047061,NA,NA
RARS1,-1.21172044165641,NA,NA,NA,NA,NA,-0.878519394381184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34056989175136,NA,NA,NA,NA,NA,NA,-1.00950831700206
CLK4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791993154172146,NA,NA,NA,NA,NA,0.644498405005616,NA
LINC01011,0.907771039294499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL590004.3,NA,NA,NA,NA,NA,NA,-2.48658398155129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68672245704773,2.7551302132262,NA,2.33625718886168,NA,2.68882282047389,NA,NA
CDKAL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.705031659955016,NA,NA,NA,NA,NA,-0.70686777854856,NA
CMAHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13570732756265,-1.33801193918345,NA,NA,-1.34227487704254,NA,NA,NA,-1.64398904609614,-1.8594452381838,-1.05148038562691,NA,-1.41666411276793,-1.32668581604215,-1.60676508593586,-1.94749437453393,-1.79108491146839
HSPA1L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.726101865208521,NA,NA,0.707579945659385,NA,NA,NA,0.7180981719443
MDGA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.846858903249837,NA,NA,-0.706028739840633,NA,NA,NA,NA
DNAH8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57870773100125,NA,4.14204637663365,NA,NA,NA,NA
FBXO9,-0.912711409664575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01829971004711,NA,NA,-0.828342190241327,NA,NA,-0.749925889819888,-0.753904124266764
MYB,NA,NA,NA,NA,NA,NA,0.633871571827234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.622482084148687,NA,NA,NA,NA,NA,NA
GRM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63754723725171,NA,NA,NA,NA
ULBP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19659231095521,NA,NA,NA,NA
DNAH11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70094780395594,NA,NA,NA,2.80405087436899,3.37515220478857,NA,NA,3.67914273303638,2.631000961587,NA,NA,3.36908839846955
AQP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.94547094952044,NA,NA,-0.844439158531552,NA,NA,NA,-0.84032735444927
TNS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38873759603929,NA,NA,NA,NA,NA,NA,NA
ASNS,-0.7723312648529,NA,NA,NA,NA,-0.726551568866275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.822558668492151,NA,NA,NA,NA,NA,-0.776791271475778,NA
AC079781.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9630828723484,NA,NA,NA,NA,NA,-0.896225095302826,NA
NAT16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654464322721574
DGKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.686724971524371,NA,NA,NA,NA,NA,NA,NA
STMN4,NA,NA,NA,NA,NA,-0.761988603521518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADHFE1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73972544246027,NA,NA,1.90370008777353,NA,NA,NA,NA
CASC11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94791400318218,NA,NA,NA,NA,NA,NA,3.15494638708902
ASAP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.803997505491735,NA,NA,NA,NA
