,SH_1949634_10x_vs_SH_DMSO,SH_1949634_3x_vs_SH_DMSO,SH_2178782_10x_vs_SH_1949634_10x,SH_2178782_10x_vs_SH_DMSO,SH_2178782_3x_vs_SH_1949634_3x,SH_2178782_3x_vs_SH_DMSO,SH_2196772_10x_vs_SH_1949634_10x,SH_2196772_10x_vs_SH_DMSO,SH_2196772_3x_vs_SH_1949634_3x,SH_2196772_3x_vs_SH_DMSO,SH_2196895_10x_vs_SH_1949634_10x,SH_2196895_10x_vs_SH_DMSO,SH_2196895_3x_vs_SH_1949634_3x,SH_2196895_3x_vs_SH_DMSO,SH_2197306_10x_vs_SH_1949634_10x,SH_2197306_10x_vs_SH_DMSO,SH_2197306_3x_vs_SH_1949634_3x,SH_2197306_3x_vs_SH_DMSO,SH_2199562_10x_vs_SH_1949634_10x,SH_2199562_10x_vs_SH_DMSO,SH_2199562_3x_vs_SH_1949634_3x,SH_2199562_3x_vs_SH_DMSO,SH_2204984_10x_vs_SH_1949634_10x,SH_2204984_10x_vs_SH_DMSO,SH_2204984_3x_vs_SH_1949634_3x,SH_2204984_3x_vs_SH_DMSO,SH_2207180_10x_vs_SH_1949634_10x,SH_2207180_10x_vs_SH_DMSO,SH_2207180_3x_vs_SH_1949634_3x,SH_2207180_3x_vs_SH_DMSO
AC053527.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
AC068547.1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC069120.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC069368.1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
AC072026.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC073365.1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
AC073585.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC073896.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC079781.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AC079922.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AC080013.1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0
AC083798.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC090517.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
AC091057.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091551.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC092164.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
AC092279.1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0
AC092821.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC093152.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093157.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AC093484.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC093627.4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AC093827.5,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
AC096887.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
