,dPSI_TST11872_iPSC-BIO-1755497-12nM,dPSI_TST11872_iPSC-BIO-1755497-40nM,dPSI_TST11872_iPSC-BIO-1949634-10uM,dPSI_TST11872_iPSC-BIO-1949634-3uM,dPSI_TST11872_iPSC-BIO-2006152-150nM,dPSI_TST11872_iPSC-BIO-2006152-45nM,dPSI_TST11872_iPSC-BIO-2059811-261nM,dPSI_TST11872_iPSC-BIO-2059811-870nM,dPSI_TST11872_iPSC-BIO-2060573-10uM,dPSI_TST11872_iPSC-BIO-2060573-3uM,dPSI_TST11872_iPSC-BIO-2060884-1000nM,dPSI_TST11872_iPSC-BIO-2060884-3700nM,dPSI_TST11872_iPSC-BIO-2070692-1680nM,dPSI_TST11872_iPSC-BIO-2070692-5600nM,dPSI_TST11872_iPSC-BIO-2135644-1uM,dPSI_TST11872_iPSC-BIO-2135644-300nM,dPSI_TST11872_iPSC-BIO-2136770-1000nM,dPSI_TST11872_iPSC-BIO-2136770-300nM,dPSI_TST11872_NGN2-BIO-1755497-12nM,dPSI_TST11872_NGN2-BIO-1755497-40nM,dPSI_TST11872_NGN2-BIO-1949634-10uM,dPSI_TST11872_NGN2-BIO-1949634-3uM,dPSI_TST11872_NGN2-BIO-2006152-150nM,dPSI_TST11872_NGN2-BIO-2006152-45nM,dPSI_TST11872_NGN2-BIO-2059811-261nM,dPSI_TST11872_NGN2-BIO-2059811-870nM,dPSI_TST11872_NGN2-BIO-2060573-10uM,dPSI_TST11872_NGN2-BIO-2060573-3uM,dPSI_TST11872_NGN2-BIO-2060884-1000nM,dPSI_TST11872_NGN2-BIO-2060884-3700nM,dPSI_TST11872_NGN2-BIO-2070692-1680nM,dPSI_TST11872_NGN2-BIO-2070692-5600nM,dPSI_TST11872_NGN2-BIO-2135644-1uM,dPSI_TST11872_NGN2-BIO-2135644-300nM,dPSI_TST11872_NGN2-BIO-2136770-1000nM,dPSI_TST11872_NGN2-BIO-2136770-300nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1755497-12nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1755497-40nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1949634-10uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1949634-3uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2006152-150nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2006152-45nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2059811-261nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2059811-870nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060573-10uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060573-3uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060884-1000nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060884-3700nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2070692-1680nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2070692-5600nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2135644-1uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2135644-300nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2136770-1000nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2136770-300nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1755497-12nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1755497-40nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1949634-10uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1949634-3uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2006152-150nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2006152-45nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2059811-261nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2059811-870nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060573-10uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060573-3uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060884-1000nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060884-3700nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2070692-1680nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2070692-5600nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2135644-1uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2135644-300nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2136770-1000nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2136770-300nM
TMEM116,NA,NA,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.319,NA,NA,NA,3.63187893007e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01391507457e-09,NA,NA,NA,NA,NA,NA,NA,0.00251405456672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00359348750305,NA
TMEM117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88876085417957,-0.644097270244794,NA,NA,NA,-0.650706560777603,NA,NA,-0.492018840388527,-0.853025542836587,NA,NA,-0.417196814541638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999999973,0.999999979642915,NA,NA,NA,0.999991324097138,NA,NA,0.994141830961884,0.999999999999898,NA,NA,0.973150098289695,NA,NA,NA
TMEM128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278656781113426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00392223942016857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM131,NA,NA,0.433,0.659598037504904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496377145131588,0.769098756062642,NA,NA,0.332738065984433,0.596794844346537,NA,NA,NA,0.270082243331675,NA,0.477446127985679,NA,NA,0.396452528353427,NA,NA,NA,0,1.96050524350657e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998744990195788,1.34444397578547e-07,NA,NA,7.03780672525932e-05,0.000187559975331301,NA,NA,NA,0.00086375045963826,NA,9.73785629554459e-07,NA,NA,2.00579773176776e-06,NA
TMEM161A,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07565574524e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM161B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.416761975976578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975572611712408,NA,NA,NA,NA,NA,NA
TMEM161B-AS1,NA,NA,0.290501676241756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012439121508189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567754972940818,0.378029095802037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.93704499439565e-07,2.0822774575372e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,-0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08520944047e-06,NA,NA,NA,NA,NA,NA,NA,NA,0.000178634933814,NA
TMEM165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588644409635637,NA,NA,NA,NA,NA,NA,NA,NA,0.306,NA,NA,NA,NA,NA,NA,NA,0.507275661825298,0.890269055815921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.818544037437e-06,NA,NA,NA,NA,NA,NA,NA,NA,0.00887168256139,NA,NA,NA,NA,NA,NA,NA,0.000883186549505003,0.999999999999673,NA,NA,NA,NA,NA,NA
TMEM177,NA,NA,-0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274884456206387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.83371054826e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0272159021807163,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM18,NA,NA,-0.757,-0.502,NA,NA,NA,-0.327,NA,NA,NA,-0.368,NA,NA,NA,NA,0.305628855830853,NA,NA,NA,-0.632,-0.456,NA,NA,NA,-0.439,0.300325807233294,NA,NA,-0.362,NA,-0.445,0.275680176839944,NA,0.263586783852672,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0.00052720885169488,NA,NA,NA,0,5.45818761582e-14,NA,NA,NA,0,2.46787508389097e-05,NA,NA,0,NA,0,0.000131784584533709,NA,0.00515109459165398,NA
TMEM184B,NA,NA,-0.378523767022924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908981410193525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM189,NA,NA,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM189-UBE2V1,NA,NA,0.650411293345277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM192,NA,NA,NA,0.289540360674619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.73444985300599e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM198B,NA,NA,NA,0.442001730433311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435393379554201,NA,NA,NA,NA,0.333,NA,NA,NA,NA,0.495805854550765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935147013823724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.918512165848174,NA,NA,NA,NA,4.36200525747e-06,NA,NA,NA,NA,0.963788491999763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM201,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23563799738e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM214,NA,NA,0.960447476010174,0.91220630602662,0.432395125091843,NA,0.373527069541579,0.843127798065137,0.674779581305463,0.3731477723627,0.688195304059372,0.908256694800365,NA,0.742522666183094,0.677237778327095,NA,0.707771245861635,NA,NA,NA,0.955066712802677,0.904843321525989,0.413784691817589,NA,0.27094581081405,0.792259239703501,0.765480715858352,0.522996479422076,0.722167506784341,0.879368822321733,0.276845196308515,0.770305074211875,0.616992958654362,NA,0.703625907793338,NA,NA,NA,2.19568314533493e-06,9.53979332786722e-10,2.87086047118625e-07,NA,2.49313620364655e-05,3.85560194597474e-09,3.81668524443497e-06,3.77216258321389e-07,4.35731024871317e-09,2.65960377545585e-06,NA,9.71513646868915e-09,1.20689632960168e-08,NA,1.38580070661969e-08,NA,NA,NA,0.000103431138841785,2.53713524420635e-09,8.03727551691985e-06,NA,0.00403948211671138,7.53248446169034e-08,1.45883031649474e-07,3.34302287976396e-08,2.91234848265926e-07,1.69357945884265e-09,1.01610437803153e-05,7.05604946662887e-08,9.60967242540283e-08,NA,1.48165430168403e-07,NA
TMEM218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00347198572191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM219,NA,NA,0.32426214866569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48779803993167e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM231,NA,NA,NA,NA,NA,NA,NA,NA,0.315132932231527,NA,0.387808733638591,NA,NA,0.347830343739321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00754699114521833,NA,0.00431956215432138,NA,NA,0.0211865291749645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813791588605925,NA,NA,NA,NA,-0.427319005186349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999928841,NA,NA,NA,NA,0.954594311030365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM241,NA,NA,-0.332785815884864,NA,-0.463186055503981,NA,NA,NA,-0.425221788072343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0165589560899375,NA,0.96705630255024,NA,NA,NA,0.922521466557522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM255A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA,NA,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1.17102431648e-13,NA,NA,NA,NA,NA,NA
TMEM256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588290148650941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999999928,NA,NA,NA,NA,NA,NA
TMEM256-PLSCR3,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM260,NA,NA,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,0.458,NA,0.351,NA,NA,NA,NA,NA,NA,0.000344773976084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8989328165e-09,NA,NA,NA,NA,NA,NA,NA,NA,2.72619417592e-14,NA,0.00060149948656,NA,NA,NA,NA
TMEM263,NA,NA,0.403,NA,NA,NA,NA,NA,NA,NA,0.443,0.349,NA,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95937914292e-10,NA,NA,NA,NA,NA,NA,NA,2.66082870943e-10,1.48359573695e-05,NA,9.03705154295e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.79302687691e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM39A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.676795413366809,0.445220376586043,NA,NA,NA,NA,NA,NA,NA,-0.392139420390139,NA,0.49613863480289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999632498231,0.988548677868697,NA,NA,NA,NA,NA,NA,NA,0.00847618355223652,NA,0.99764418991269,NA,NA,NA,NA
TMEM39B,NA,NA,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.257437191111122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000201236809175933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM41A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51107965772e-09,4.86576154817e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM43,NA,NA,0.458949213173796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485192322278995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42942834111608e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18320830244799e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM45A,NA,NA,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43403711109e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM50A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256534097453484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40181919517451e-25,NA,NA,NA,NA,NA,NA
TMEM50B,NA,NA,-0.66,-0.363,0.320941511445604,NA,NA,NA,-0.688,-0.49,-0.533,0.559,-0.32,-0.586,-0.397,NA,0.311093641528582,NA,0.335779039926828,0.467,0.508,0.392,-0.399,0.259943309454444,NA,-0.469,0.615,0.676,-0.685,-0.955,-0.611,0.544,0.671,0.363985525370712,0.659,0.377158611724439,NA,NA,0,1.21926296475e-06,0.0171453040817376,NA,NA,NA,0,0,0,0,1.10671480676e-06,0,1.08556736585e-12,NA,0.0240173867608533,NA,0.00192564304750303,0,0,0,0,0.000612227886850412,NA,0,0,0,0,0,0,0,0,0.000123924059958587,0,9.37782823178478e-05
TMEM63B,NA,NA,0.27391640496034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0147818018136888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM67,NA,NA,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM74B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.400073520398511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.933032844312517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM87B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26777029887648,NA,NA,NA,NA,0.271235812958399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0346738689120005,NA,NA,NA,NA,0.0255009676219554,NA,NA,NA,NA
TMEM91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.329,NA,NA,NA,NA,NA,-0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00563521773592,NA,NA,NA,NA,NA,0.0282479326082,NA,NA,NA,NA,NA
TMLHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26073497125702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00548889194300894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMPRSS2,NA,NA,0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0191421653881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMSB4Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331105111272116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00769411846789378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMTC1,NA,NA,0.573,0.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
