,minpadj_maxPdPSI_LMI070_01x,dPSI_LMI070_01x,Algorithem.x,minpadj_maxPdPSI_LMI070_03x,dPSI_LMI070_03x,Algorithem.y,minpadj_maxPdPSI_LMI070_10x,dPSI_LMI070_10x,Algorithem.x,minpadj_maxPdPSI_RG7916_01x,dPSI_RG7916_01x,Algorithem.y,minpadj_maxPdPSI_RG7916_03x,dPSI_RG7916_03x,Algorithem.x,minpadj_maxPdPSI_RG7916_10x,dPSI_RG7916_10x,Algorithem.y
ABL2,0.999998725504968,0.066282181864195,leafcutter,0.928071440325061,0.0564624063186376,leafcutter,0.588918048658808,0.0333224387080176,leafcutter,0.954923580168169,0.0585254322789742,leafcutter,0.995116713762768,0.0410299322061354,leafcutter,0.996361166345142,0.033661105568616,leafcutter
ABLIM1,0.999863053701416,-0.0119240981570855,majiq,NA,NA,NA,0.999658697452849,-0.0157104032329582,majiq,NA,NA,NA,NA,NA,NA,0.999463139743774,-0.0247766968288243,majiq
ABLIM3,0.999998725504968,0.0188263999264967,leafcutter,0.411237579393098,0.0265546566569721,leafcutter,0.781056248504376,0.0470961950490301,leafcutter,0.907166879388679,0.0227301879430315,leafcutter,0.845767777737781,0.024767221407688,leafcutter,0.941395563612667,0.0281336399687042,leafcutter
ABR,0.297140443231135,0.0908130385339398,leafcutter,0.714415195014035,0.0174249947950766,leafcutter,0.803413969248541,0.0542623712643141,leafcutter,0.921604298818497,0.0140091949528828,leafcutter,0.937691493610437,0.0218198735516034,leafcutter,0.932052311707107,0.0200537584090149,leafcutter
ABRACL,0.999998725504968,0.0256080530429444,leafcutter,0.96509716716142,0.0172449687801871,leafcutter,0.997147826299423,-0.0147666779897089,leafcutter,0.975962277124018,0.0471380971456355,leafcutter,0.995116713762768,0.0589303791755007,leafcutter,0.967934130808506,0.0289617294838193,leafcutter
ABTB1,0.605710442821,-0.075,rmats,0.774569423358496,0.0753965864870896,leafcutter,0.109179453927,-0.108,rmats,0.8744373392279,0.0202764228625344,leafcutter,0.152887853862,-0.117,rmats,0.675857019700316,0.0594443771216041,leafcutter
AC002055.4,0.763252478186361,0.0403204220217361,leafcutter,0.601559332418,0.102,rmats,0.286461060322308,0.0308087967249668,leafcutter,0.8744373392279,0.031607714345242,leafcutter,0.997105598252674,0.0175030368170132,leafcutter,0.928868196600378,0.0470444101557221,leafcutter
AC002116.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999980140018317,-0.0143890140549252,majiq,0.794414953281,0.044,rmats,NA,NA,NA
AC003029.1,0.999998725504968,0.0131811732548893,leafcutter,0.986969618637443,-0.0273272946734885,leafcutter,0.237582533263,-0.074,rmats,0.996415150592899,-0.0259440537756752,majiq,0.959095377361,-0.054,rmats,0.975803304986729,0.0270804152336851,leafcutter
AC003665.1,0.908614336602849,0.0496662336534077,leafcutter,0.877054757403778,0.0240958262140658,leafcutter,0.954262368572688,0.0435544065637991,leafcutter,0.8744373392279,0.203670146711757,leafcutter,0.891995686275627,0.055877572537184,leafcutter,0.85684914822676,0.101277042880344,leafcutter
AC004076.9,0.769414543592,0.127,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004221.2,0.0777840375219,-0.188,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149843900337,-0.227,rmats,NA,NA,NA
AC004381.6,NA,NA,NA,NA,NA,NA,0.431975512332,0.134,rmats,0.775117220872,0.139,rmats,NA,NA,NA,NA,NA,NA
