"","dPSI_NGN2_1949634.10uM"
"SUN1",0.58
"NCBP3",0.57729563978727
"VPS13A",0.575502102186473
"PRRT4",0.575277966548362
"CMSS1",0.575
"IST1",0.57408536391735
"ATP7B",0.574
"KIF1A",0.573522692271427
"ZNF350",0.572313875876645
"COPS7B",0.572
"TBC1D30",0.571004014836803
"CTTNBP2",0.570761978919084
"FAT3",0.570718456604007
"CREB5",0.570673654767912
"SRGAP2B",0.569539292994468
"RAB11FIP5",0.568988732088351
"OTUD3",0.568711992196583
"SF3B3",0.56818259060436
"MAP2",0.568129130069057
"ZNF767P",0.568
"TMEM163",0.567754972940818
"SLC30A3",0.566827931226198
"KCNH7",0.566194940470004
"RBM18",0.565292519924667
"UBAP2L",0.565171126045455
"ANKRD9",0.565
"AC013717.1",0.564708079174092
"ZNF81",0.563724860400736
"REV1",0.563
"ZNF548",0.563
"CRACD",0.561845422009833
"ST6GALNAC3",0.561109825391408
"RAB5A",0.560130008889257
"DENND4A",0.56
"FAM117B",0.559269951572033
"MTIF3",0.559
"ANKRD36",0.558402806733581
"RAP1A",0.558
"AL049650.2",0.556555545022037
"HTT",0.556
"PPM1B",0.555834170856377
"SAMD12",0.555560765707839
"MORF4L1",0.553312393423775
"ANK2",0.55123845551358
"CD200",0.549863473305197
"TNIP1",0.549529433454411
"ZDHHC13",0.548
"PRICKLE1",0.546986272066606
"PKN2",0.546875860211009
"CACNA2D1",0.544912484729661
"SLC35A5",0.544655952993934
"HLA-DMA",0.54442216181851
"EPHA3",0.54368268854322
"TBCA",0.543118738366609
"PRIM1",0.542659330387717
"PHOSPHO2",0.542312292004935
"OSBPL8",0.541566609330593
"SHC3",0.540920979589049
"CACNA1H",0.54
"TRIM9",0.538
"ECM1",0.537710511464827
"FGF9",0.537260857487509
"CUL7",0.537
"PHACTR1",0.536213771996572
"OSBPL11",0.536071099402431
"MTFR1L",0.536
"TSPAN2",0.536
"ADCY3",0.535
"CDC42BPA",0.535
"TUT4",0.535
