"","dPSI_iPSC_1949634.3uM"
"CBY1",0.306
"FN1",0.306
"UIMC1",0.306
"ZNF888",0.305581726547808
"ADGRA3",0.305391375785443
"PELI1",0.305006872038197
"CCM2",0.305
"KLHL8",0.305
"ARHGEF16",0.304295971531077
"CAMKV",0.304
"PEAK1",0.304
"STRN3",0.304
"TCF7",0.303691957913399
"NPR2",0.303538486147666
"AKR1A1",0.303
"CBLB",0.303
"CTNS",0.303
"ZNF589",0.303
"LRRC8B",0.302833899285529
"RBCK1",0.302714229453303
"NR1H3",0.302011256607401
"ATXN2L",0.302
"BBX",0.302
"DFFA",0.302
"SPIRE1",0.301378752812222
"SRGAP2C",0.301307802811446
"CAPNS1",0.30108632243317
"AASS",0.301
"CD99L2",0.301
"OPN3",0.301
"PXYLP1",0.301
"RNF34",0.301
"PCID2",0.300721714869226
"KIF21A",0.300630022798802
"UBN1",0.3
"AKAP8L",0.299705635973471
"DNAJC27",0.298906183828987
"PLA2G4C",0.298403792442133
"ACTR1B",0.297451188318047
"CPSF4",0.296339628521428
"RHBDD1",0.296206781663774
"ATXN7L1",0.295448175549025
"TCFL5",0.294635372688674
"CHST7",0.294488115823309
"BOD1L1",0.293481637086913
"PPP1CC",0.293341940569002
"TPMT",0.292920780572782
"SLC25A51",0.292634942206343
"KIF1A",0.29170344035526
"USP25",0.291464436865888
"TRAFD1",0.291098398556254
"ALG8",0.2908430493871
"HIPK2",0.290506726375042
"TSPAN14",0.290273295487874
"TMEM192",0.289540360674619
"PRKCI",0.289490835398255
"DMC1",0.289327065973185
"AP2A2",0.288493254621222
"SCAMP5",0.288200305247308
"BCLAF3",0.287197467905556
"SH2B1",0.285865004277864
"MTIF3",0.28572363209225
"SECISBP2",0.284616248190181
"UGT8",0.284400686006768
"CEP57L1",0.282942742343848
"RBM27",0.282198493970318
"GORASP1",0.281630224876747
"RSRP1",0.281452945447846
"ZSCAN18",0.280819288480394
"KIF3A",0.279907712806966
"ZNF45",0.279423816594759
"AC009053.2",0.279063455171449
"CACNG7",0.278834005340626
"RTN2",0.278296004922694
"ASXL1",0.278234073287937
"GPM6B",0.277702597885753
"CNNM3",0.277650674394238
"FAM111A",0.277601000384274
"CNKSR2",0.276951647360444
"CCDC169",0.276783818400657
"NEMF",0.276740781713127
"UBAP2L",0.276619754226059
"LRRC8D",0.276354717937871
"FLT1",0.275614605733687
"ZNF623",0.275168480662449
"IRAK1BP1",0.274475903429789
"NFKB2",0.27383781227857
"NUDT2",0.27210958845811
"PCP4",0.27180545587175
"ZNF821",0.271517907878353
"ELP1",0.271323034773785
"ARFIP1",0.270948287999094
"TRIM27",0.270898387292398
"FHL3",0.270312871199306
"ZNF707",0.270166580573163
"LINC00467",0.269158619140676
"ADAM23",0.268722162713164
"CPEB4",0.268658581140854
"ULK4",0.268257138516467
"TTPAL",0.268091149287669
"NET1",0.267887569656714
"ZNF518B",0.267487513115684
"NBPF9",0.267316095428412
"APC",0.267050517397152
"LRR1",0.266644968650929
"GOLGA2",0.265842859947445
"PTP4A3",0.265838363497959
"TRAPPC13",0.265730500747082
"TRIM46",0.265423127862142
"ZNF207",0.264925909909162
"DEPDC5",0.264407253124856
"MAGI3",0.264216846002937
"ERG",0.264214642391742
"R3HDM1",0.263789859732406
"NPIPA1",0.263679669617185
"SDHAP3",0.263575521153753
"SSH2",0.262934050475455
"SPATS2",0.262658613932349
"DST",0.261969060621581
"GRK6",0.261121614763954
"PLEKHA1",0.261046606288435
"DDIAS",0.261031446764406
"POLG",0.261008200529308
"EPHA1-AS1",0.260668952473309
"SLC9B2",0.260005412118052
"MYO9B",0.259981733843068
"FRAS1",0.259247042895469
"ZNF37A",0.25922703952424
"NUP50",0.259154429129549
"RAB3IL1",0.257768480119462
