Row.names,dPSI_U1_WT_500_BIO2197294_vs_DMSO_EtOH.x,dPSI_U1_WT_500_Branaplam_vs_DMSO_EtOH.x,dPSI_U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_Branaplam_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_EtOH_vs_DMSO_EtOH.x
QRFPR,-0.390920375647744,NA,-0.416111586728287,NA,NA
RABGAP1L,-0.253382510867443,NA,NA,NA,NA
RABGGTB,-0.303034012330735,NA,NA,NA,NA
RAPGEF6,-0.257744703362417,NA,-0.268169662671343,NA,NA
RBM8A,NA,0.353436281580453,NA,NA,NA
RELCH,-0.305773672537015,NA,-0.27637289097162,NA,NA
RHBDD2,-0.394492683715497,NA,-0.34627988712382,NA,NA
RHBDD3,0.313979430020393,NA,NA,NA,NA
RIOK3,0.292934390786572,NA,NA,NA,NA
RMND5B,-0.251749349909844,NA,NA,NA,NA
RNF32,0.426384586519528,0.415176773251126,NA,NA,NA
RRAGB,-0.547817638612226,NA,-0.493172187890844,NA,NA
RSRC2,-0.271509844036518,NA,NA,NA,NA
RTTN,0.250521349982264,NA,NA,NA,NA
S100PBP,-0.270102906874687,NA,-0.25946180250779,NA,NA
SCAI,NA,NA,-0.270768510701659,NA,NA
SCAND2P,0.300041919447003,NA,-0.303075190666236,NA,NA
SDHAP3,0.289421067585006,NA,-0.334142355157335,NA,NA
SELENOO,-0.294691848523641,NA,-0.297582608969091,NA,NA
SEMA6C,NA,NA,-0.390073996504778,NA,NA
SENP6,NA,NA,NA,-0.282551499386091,NA
SETDB2,-0.331772736274205,NA,-0.288077355850131,NA,NA
SFMBT2,0.356809901134391,NA,0.34606256464154,NA,NA
SLC36A4,-0.315470271136993,NA,-0.307760198894268,NA,NA
SLC7A6OS,0.34538938340684,NA,NA,NA,NA
SLX1B,-0.271353177521582,NA,-0.258419259696766,NA,NA
SNHG20,NA,NA,-0.251658603622937,NA,NA
SNRNP48,-0.364635456393382,NA,-0.3506484956598,NA,NA
SPATA5L1,-0.284194051841717,NA,-0.285766720683677,NA,NA
SPHK1,0.296898897097378,NA,NA,NA,NA
SPIDR,NA,0.292899495311496,NA,0.303526316290928,NA
SPIN2B,0.259291648533365,NA,NA,NA,NA
SPRYD7,-0.270889749046485,NA,-0.269843557787272,NA,NA
SREK1,0.299496361023968,NA,0.303078424966337,NA,NA
SRSF4,-0.325492217898223,NA,NA,NA,NA
ST7L,-0.320862507729222,NA,-0.259523504188516,NA,NA
STAG3L4,-0.303939653400091,NA,-0.262028404844431,NA,NA
STARD5,-0.284417589569271,NA,NA,NA,NA
STK16,NA,NA,0.287259610733117,NA,NA
SUZ12P1,-0.339541005283875,NA,NA,NA,NA
TACC2,0.387084002590301,NA,NA,NA,NA
TAF1,-0.259085873968008,NA,-0.253712698374952,NA,NA
TAF2,-0.372433460311998,-0.345092953533788,-0.357595738686079,-0.329320867711078,NA
TBC1D8B,-0.300238373426238,NA,-0.250746534437933,NA,NA
TBCK,-0.303053594774206,NA,-0.255024386793094,NA,NA
TENT2,-0.259758562894644,NA,0.259158581011904,NA,NA
THUMPD2,-0.356768442371538,NA,-0.357116270144632,NA,NA
TIAM1,0.272352951264181,0.272322606388943,0.254365909167354,0.257138907728027,NA
TMC7,0.313707186225422,NA,0.327778561468381,NA,NA
TMEM222,NA,NA,-0.261633290232837,NA,NA
TMEM237,-0.370817776527656,NA,-0.380664575185792,NA,NA
TMEM44,0.311030175029092,NA,NA,NA,NA
TPCN1,-0.272998725322436,NA,NA,NA,NA
TPTEP2,NA,-0.27881649921786,NA,-0.261151519914346,NA
TRMT11,-0.402443642915295,NA,-0.349117707549721,NA,NA
TRNAU1AP,-0.262333962402342,NA,NA,NA,NA
TRNT1,NA,NA,-0.297112393646128,NA,NA
TSPYL2,0.41965083828858,NA,NA,NA,NA
TTC25,0.371550045099409,NA,NA,NA,NA
TTC38,-0.300742927129096,NA,NA,NA,NA
TTC39C,-0.302296668984707,NA,NA,NA,NA
