,GM_BIO_2196772_10x_vs_GM_Risdiplam_10x,GM_BIO_2207180_10x_vs_GM_Risdiplam_10x,GM_BIO_2178782_10x_vs_GM_Risdiplam_10x,GM_BIO_2196895_10x_vs_GM_Risdiplam_10x,GM_BIO_2197306_10x_vs_GM_Risdiplam_10x,GM_BIO_2206678_10x_vs_GM_Risdiplam_10x,GM_BIO_2201042_10x_vs_GM_Risdiplam_10x,GM_BIO_2204984_10x_vs_GM_Risdiplam_10x,GM_BIO_2199562_10x_vs_GM_Risdiplam_10x,GM_BIO_2186827_10x_vs_GM_Risdiplam_10x,GM_BIO_2196772_3x_vs_GM_Risdiplam_3x,GM_BIO_2207180_3x_vs_GM_Risdiplam_3x,GM_BIO_2178782_3x_vs_GM_Risdiplam_3x,GM_BIO_2196895_3x_vs_GM_Risdiplam_3x,GM_BIO_2197306_3x_vs_GM_Risdiplam_3x,GM_BIO_2206678_3x_vs_GM_Risdiplam_3x,GM_BIO_2201042_3x_vs_GM_Risdiplam_3x,GM_BIO_2204984_3x_vs_GM_Risdiplam_3x,GM_BIO_2199562_3x_vs_GM_Risdiplam_3x,GM_BIO_2186827_3x_vs_GM_Risdiplam_3x,GM_BIO_2196772_3x_vs_GM_DMSO,GM_BIO_1949634_3x_vs_GM_DMSO,GM_BIO_2207180_3x_vs_GM_DMSO,GM_BIO_2178782_3x_vs_GM_DMSO,GM_BIO_2196895_3x_vs_GM_DMSO,GM_BIO_2197306_3x_vs_GM_DMSO,GM_BIO_2206678_3x_vs_GM_DMSO,GM_BIO_2201042_3x_vs_GM_DMSO,GM_BIO_2204984_3x_vs_GM_DMSO,GM_BIO_2199562_3x_vs_GM_DMSO,GM_BIO_2186827_3x_vs_GM_DMSO,GM_BIO_2196772_10x_vs_GM_DMSO,GM_BIO_1949634_10x_vs_GM_DMSO,GM_BIO_2207180_10x_vs_GM_DMSO,GM_BIO_2178782_10x_vs_GM_DMSO,GM_BIO_2196895_10x_vs_GM_DMSO,GM_BIO_2197306_10x_vs_GM_DMSO,GM_BIO_2206678_10x_vs_GM_DMSO,GM_BIO_2201042_10x_vs_GM_DMSO,GM_BIO_2204984_10x_vs_GM_DMSO,GM_BIO_2199562_10x_vs_GM_DMSO,GM_BIO_2186827_10x_vs_GM_DMSO
TARBP1,NA,NA,-0.891317413643929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.890144608076443,NA,NA,-1.55497638623766,NA,NA,NA,NA,-0.783243696861987,-1.14265264019612,-0.668135495882501
LINC01132,3.17207280522623,NA,NA,NA,NA,NA,3.73520113720606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03074050763556,NA,NA,NA,NA,NA,NA,2.61483834806257,NA,NA,NA
CEP170,-1.52557862803917,NA,-1.49197602837578,NA,-0.938882481571425,NA,-0.862889228097784,-1.70651049421857,-2.20562036863267,-1.54666999065553,NA,NA,NA,NA,NA,NA,NA,-0.588615468121903,-0.790278758471979,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.625085244589992,-0.856653852745812,NA,-1.50467044657444,NA,NA,-1.48071533482602,NA,-0.932160885725832,NA,-0.86449984466251,-1.70270024193853,-2.19535503141962,-1.5348676947159
CMPK2,NA,NA,NA,NA,NA,NA,4.00067132049329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02242310818164,NA,NA,NA
LINC00570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04503200624084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNAJC27,NA,NA,NA,NA,NA,NA,NA,0.696149525235034,0.627921147317973,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593338080024621,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65910454485319,0.70067313963526,NA,0.812597007257118,NA,NA,0.825851318279317,NA,0.655214796360183,NA,NA,1.08998600173275,1.0287558876147,0.905795228854934
ZNF512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.646302300671149,NA
RBKS,NA,NA,NA,NA,NA,NA,NA,-0.763454901471013,-0.645075793287408,-0.593055427639586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCARE,7.25244229052162,NA,6.93299813219948,NA,6.5421209572156,NA,5.47051439021319,6.31794713178353,7.90218748661886,7.48049922292306,NA,NA,NA,NA,NA,NA,NA,NA,3.45347703856585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2803119412563,NA,5.98896555583861,NA,NA,5.68045806171827,NA,5.30180182898628,NA,4.26264603627047,5.08620264960128,6.61623150350815,6.20892411250369
