"","X","dPSI_iPSC_2006152_3X","X.1","dPSI_iPSC_2139701_3X","X.2","dPSI_iPSC_2174714_3X","X.3","dPSI_iPSC_2174748_3X","X.4","dPSI_iPSC_2175420_3X","X.5","dPSI_iPSC.2184088_3X","X.6","dPSI_iPSC_2184090_3X","X.7","dPSI_iPSC_2184741_3X","X.8","dPSI_iPSC_2186527_3X","X.9","dPSI_iPSC_2186866_3X","X.10","dPSI_iPSC_2186960_3X","X.11","dPSI_NGN2_2006152_3X","X.12","dPSI_NGN2_2139701_3X","X.13","dPSI_NGN2_2174714_3X","X.14","dPSI_NGN2_2174748_3X","X.15","dPSI_NGN2_2175420_3X","X.16","dPSI_NGN2_2184088_3X","X.17","dPSI_NGN2_2184090_3X","X.18","dPSI_NGN2_2184741_3X","X.19","dPSI_NGN2_2186527_3X","X.20","dPSI_NGN2_2186866_3X","X.21","dPSI_NGN2_2186960_3X"
"49",NA,NA,NA,NA,NA,NA,NA,NA,"DLGAP4",0.303115624707653,NA,NA,NA,NA,"AXIN1",0.28009148828141,NA,NA,"ARMCX6",0.302301581856042,NA,NA,"PDE7A",0.316,NA,NA,"SKP1",0.393,"LYRM1",0.325,"ABCC8",0.445339710907673,"TRIM65",0.372,"TAF2",0.305,"HTT",0.430697325085688,"ENAH",0.288225725558481,"STXBP5L",0.342734962373873,"LYRM1",0.341
"50",NA,NA,NA,NA,NA,NA,NA,NA,"INTU",0.303,NA,NA,NA,NA,"PDXDC1",0.278073507710981,NA,NA,"SIRT2",0.300458836665123,NA,NA,"NUP58",0.310816190050291,NA,NA,"CLN3",0.386,"STXBP5L",0.320005223559106,"THUMPD3-AS1",0.442731883821212,"CLN3",0.371,"LINC02210",0.295577025709753,"MATK",0.422662852427404,"SMG1P5",0.287724631050545,"AC138894.1",0.341,"TENT2",0.335328679643939
"51",NA,NA,NA,NA,NA,NA,NA,NA,"TMEM214",0.284234790930605,NA,NA,NA,NA,"RAF1",0.274852729581439,NA,NA,"TCF4",0.293075604144636,NA,NA,"TENT2",0.310630780515194,NA,NA,"ADAM17",0.381,"ERVK13-1",0.317,"GARNL3",0.441858022609185,"LRIG2",0.370176772604848,"TENT2",0.289827056135863,"SOS2",0.420726083810286,"KDM6A",0.266421134822816,"ADAM17",0.33329990555464,"NECAP2",0.333
"52",NA,NA,NA,NA,NA,NA,NA,NA,"AXIN1",0.282945150281783,NA,NA,NA,NA,"APIP",0.267830141997233,NA,NA,"WNK1",0.292043554851149,NA,NA,"ATP7B",0.308,NA,NA,"CHROMR",0.378,"SLC25A17",0.308421102733793,"AL355987.4",0.441790835047872,"AC068547.1",0.365538407312827,"EXOC6B",0.288798445650941,"MRPS5",0.411880923601872,"NUP58",0.256984866674453,"RAF1",0.333,"LRIG2",0.322646180738807
"53",NA,NA,NA,NA,NA,NA,NA,NA,"STRN",0.282098340459488,NA,NA,NA,NA,"EXOC6B",0.267555668802183,NA,NA,"PMS2P10",0.291003911218744,NA,NA,"COMMD4",0.308,NA,NA,"CDK5RAP1",0.374,"ADAM17",0.308,"AL591806.4",0.436461303707217,"USP9Y",0.362019298031499,"KLHL1",0.261469274075713,"SERGEF",0.41,NA,NA,"TRAPPC13",0.324,"SREK1",0.314326135329483
"54",NA,NA,NA,NA,NA,NA,NA,NA,"TENT2",0.277577360019295,NA,NA,NA,NA,"RAB2B",0.256944077738228,NA,NA,"DHFR",0.274532027602303,NA,NA,"FAAP20",0.308,NA,NA,"AC007614.1",0.373,"TOX4",0.308,"F11R",0.434822224061538,"TNFRSF25",0.355,"C14orf132",0.258118326019319,"HAUS3",0.409660521484057,NA,NA,"TENT2",0.32081074989528,"ATR",0.303
"55",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF618",0.267349253279343,NA,NA,NA,NA,"TCF4",0.252300524509119,NA,NA,"ENAH",0.263306780181705,NA,NA,"CACNA1H",0.304,NA,NA,"PITPNB",0.368444121686393,"TARBP1",0.285061905851152,"WDR20",0.429612001640063,"MLLT10",0.354160174127172,"PNISR",0.252241688269452,"UNKL",0.401266312359745,NA,NA,"KDM6A",0.319,"NRXN3",0.302
"56",NA,NA,NA,NA,NA,NA,NA,NA,"STXBP1",0.260422677472676,NA,NA,NA,NA,NA,NA,NA,NA,"TENT2",0.260615189126606,NA,NA,"STRN",0.301282671568438,NA,NA,"KDM6A",0.368,"MLLT10",0.284291881835427,"DOCK7",0.429,"CHROMR",0.34,NA,NA,"UBE2Q2P1",0.400629571382177,NA,NA,"SNHG17",0.319,"NUP58",0.294783474140484
"57",NA,NA,NA,NA,NA,NA,NA,NA,"PNISR",0.251960900914355,NA,NA,NA,NA,NA,NA,NA,NA,"PDXDC1",0.257423828460146,NA,NA,"NKAIN2",0.299023742240538,NA,NA,"WDR90",0.368,"ZNF618",0.274579833841613,"TFR2",0.427308875018591,"KLHL1",0.338144945160647,NA,NA,"STRN",0.393079202508522,NA,NA,"CLN3",0.31,"C14orf132",0.280385337116069
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DTWD1",0.255842214465218,NA,NA,"ZFP82",0.294471507549583,NA,NA,"ENOX1",0.36613499944921,"CDC37L1",0.26579938804928,"MAST4",0.424834821982437,"TP53INP1",0.334,NA,NA,"TAF1",0.38632219248721,NA,NA,"AXIN1",0.309,"STRN",0.276902683913592
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAF1",0.255158311865131,NA,NA,"TIAM1",0.289030911455485,NA,NA,"SLC7A6",0.358,"CACNB4",0.260202021362493,"STRN3",0.424,"ASCC3",0.324879997364719,NA,NA,"QKI",0.381,NA,NA,"STRN3",0.305,"WNK1",0.275240519238663
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STXBP5L",0.288841496602035,NA,NA,"PDXDC1",0.346,"HDX",0.250406689685805,"CCDC77",0.423623792932226,"FAAP20",0.323,NA,NA,"LRIG2",0.378937993772999,NA,NA,"ZNF718",0.301510121172493,"CACNB4",0.26716554414914
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRIG2",0.266706974422561,NA,NA,"TSPAN4",0.342,NA,NA,"TSNARE1",0.42353648673325,"SREK1",0.322949882579616,NA,NA,"ADAM17",0.374,NA,NA,"PNISR",0.284493590361603,"ZNF618",0.260636760144042
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSPAN7",0.265295435729365,NA,NA,"SENP6",0.340979965950419,NA,NA,"CCDC78",0.422446740407194,"DLG5",0.318336778970975,NA,NA,"FHOD3",0.373432135182466,NA,NA,"ENAH",0.264892224467614,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FHOD3",0.260433850097285,NA,NA,"ZNF618",0.336923528373946,NA,NA,"HMCN2",0.42088379868226,"CACNB4",0.318071317717361,NA,NA,"WDR90",0.368,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDM6A",0.258655934262757,NA,NA,"LYRM1",0.331,NA,NA,"ZMYM6",0.419815248279641,"RSPH4A",0.315,NA,NA,"VDAC3",0.364579557164164,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CACNB4",0.254133021405468,NA,NA,"FAM221A",0.329,NA,NA,"TNFRSF25",0.418,"CLK4",0.314,NA,NA,"FGF12",0.363332057352253,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLHL1",0.253760254793944,NA,NA,"STRN3",0.324,NA,NA,"CROCC",0.41759679638083,"LINC00884",0.314,NA,NA,"SKP1",0.363,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SREK1",0.322,NA,NA,"TRIM65",0.417,"STRN3",0.312,NA,NA,"ZCCHC9",0.35977740624324,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A17",0.320672088363757,NA,NA,"NME9",0.413782795490321,"ZNF618",0.308,NA,NA,"PDXDC1",0.359,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TARBP1",0.31707996108003,NA,NA,"NCAPD3",0.413663756996522,"AXIN1",0.306,NA,NA,"INTU",0.356,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C14orf132",0.313886794148934,NA,NA,"AZIN2",0.413,"VPS29",0.29374503729154,NA,NA,"CDC37L1",0.354944575535837,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAP6",0.310604810227244,NA,NA,"ANAPC11",0.411436281090859,"FBL",0.288265313854556,NA,NA,"SEC22A",0.352585831779593,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERVK13-1",0.307,NA,NA,"AC246817.2",0.411431560188273,"TENT2",0.286045713163627,NA,NA,"TSPAN7",0.347,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERGEF",0.301,NA,NA,"PIGB",0.405110184020893,"ENOX1",0.27924409479313,NA,NA,"ENAH",0.346946868055893,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STXBP5L",0.295869159903609,NA,NA,"ADAM17",0.402187304324795,"SH3YL1",0.26306217123802,NA,NA,"MAPK10",0.343,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADAMTS10",0.291127996830039,NA,NA,"WDR17",0.402,"MAP6",0.260430347670828,NA,NA,"INO80E",0.334,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TIAM1",0.290773675726984,NA,NA,"TARBP1",0.395099864093033,"NKAIN2",0.25903330604917,NA,NA,"SLC25A17",0.33,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TET1",0.277182363824099,NA,NA,"CLVS1",0.393,NA,NA,NA,NA,"SETX",0.329819696788235,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZMYM6",0.271851959613888,NA,NA,"SETX",0.38751632987739,NA,NA,NA,NA,"ZFP82",0.324820307375301,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAM174A",0.259361877947051,NA,NA,"GRIA1",0.384729669295065,NA,NA,NA,NA,"SYNE4",0.323,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NKAIN2",0.253915278751335,NA,NA,"AC007614.1",0.384,NA,NA,NA,NA,"PIGA",0.321,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSPAN4",0.382,NA,NA,NA,NA,"EIF2D",0.319,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEIL2",0.379,NA,NA,NA,NA,"ERCC8",0.319,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSMD11",0.379,NA,NA,NA,NA,"LINC02210",0.315881311277062,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZSCAN26",0.373539181310536,NA,NA,NA,NA,"CLN3",0.315,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STXBP5L",0.373408850735117,NA,NA,NA,NA,"AXIN1",0.314,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLASP2",0.37055718200462,NA,NA,NA,NA,"DENND5A",0.313,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYNE4",0.367,NA,NA,NA,NA,"STRN3",0.312,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAF2",0.362,NA,NA,NA,NA,"PCDH10",0.311734763107082,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAAP20",0.361,NA,NA,NA,NA,"LINC00662",0.311,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHROMR",0.356,NA,NA,NA,NA,"ZMIZ2",0.311,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LARP7",0.353,NA,NA,NA,NA,"MSL3",0.309,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUP58",0.352387882959286,NA,NA,NA,NA,"PPHLN1",0.308975424698938,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CFAP298-TCP10L",0.35,NA,NA,NA,NA,"RAP1A",0.307,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRRC42",0.35,NA,NA,NA,NA,"UBAP2L",0.306885313295733,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKP1",0.35,NA,NA,NA,NA,"NDUFAF7",0.306,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNX32",0.348,NA,NA,NA,NA,"SLC7A6",0.306,NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC004540.1",0.342,NA,NA,NA,NA,"TARBP1",0.306,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC138894.1",0.338,NA,NA,NA,NA,"VAV2",0.3050127158581,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLLT10",0.33750393348154,NA,NA,NA,NA,"DHFR",0.295502941093558,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EXOC6B",0.334463652084848,NA,NA,NA,NA,"METTL6",0.293304088922125,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SENP6",0.32586556920088,NA,NA,NA,NA,"FNIP2",0.275685148841383,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B4GALNT1",0.322,NA,NA,NA,NA,"C12orf4",0.270881334139115,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDE7A",0.322,NA,NA,NA,NA,"SAR1A",0.260675481810169,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC119673.3",0.321,NA,NA,NA,NA,"ZNF618",0.257423864490055,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNHG17",0.319,NA,NA,NA,NA,"ZSCAN26",0.253367250015506,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPT1-AS1",0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSME2",0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM147",0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOX4",0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDM6A",0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TIAM1",0.316066076326038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLN3",0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFAF7",0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF468",0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2CD2L",0.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSTCD",0.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRXN3",0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCNK",0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STRN",0.302426655590164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AXIN1",0.301979902661874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPP4C",0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL009179.1",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYCBP2",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DHFR",0.290300601296613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CACNA1C",0.285578017560942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC02210",0.278376832043329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARHGEF1",0.275524197276534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARMH3",0.274815522628171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VPS29",0.269641152276751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLHL1",0.268922886187149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SREK1",0.251968507729846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
