"","dPSI_iPSC_1949634.10uM"
"ANTXR2",0.419474534618653
"FAM24B",0.419341438151477
"APTX",0.419
"GPR161",0.419
"KSR1",0.419
"MTMR1",0.419
"TEPSIN",0.419
"USP34",0.419
"ZFAND4",0.419
"KIAA0232",0.418982785881449
"TCF7",0.41898026537535
"OAZ1",0.418975421881161
"TENT4A",0.418710513824772
"LATS1",0.418
"MAP2",0.418
"EIF2B3",0.417275648909307
"DAB1",0.417097177606559
"ARMC6",0.417
"FAM135A",0.417
"INO80",0.417
"PABPC1",0.417
"ZNF821",0.417
"TUT4",0.416143210589368
"ARHGAP26",0.416
"FGFR1",0.416
"MTFP1",0.416
"SCAF8",0.416
"VPS13A",0.416
"ANXA7",0.415
"CLN3",0.415
"MITD1",0.415
"SETDB1",0.415
"ZBTB25",0.414339490738301
"ERMARD",0.414
"HSP90AA1",0.414
"MARCHF8",0.414
"RPS10",0.414
"SGO1",0.414
"UBE2I",0.414
"VPS29",0.414
"TFAP4",0.413306297731382
"SELENOF",0.413131772562123
"SFT2D2",0.413050411626396
"AKAP11",0.413
"BIN1",0.413
"CRIP3",0.413
"FAM111A",0.413
"SERGEF",0.412390904999202
"TTC13",0.412175150217435
"AMOTL1",0.412
"FXYD5",0.412
"GORASP1",0.412
"METTL22",0.412
"NUP35",0.412
"AC092329.1",0.411627488936115
"AC092329.3",0.411179189085565
"DNAJC15",0.411036710345082
"AOPEP",0.411
"GLI3",0.411
"ZZEF1",0.411
"PSD3",0.410975773458487
"ERCC6",0.410285079175429
"GAL3ST3",0.410171938152697
"ACSF3",0.41
"KMT2A",0.41
"TMEM104",0.41
"TBL1X",0.409901759751988
"PRDM15",0.409527310876906
"DDX51",0.409457300676312
"DCAF16",0.409310435566256
"SELENOO",0.40917609073199
"MVK",0.409
"SGPL1",0.408316951614512
"HERC2P3",0.408180151425722
"ICMT",0.408
"PRDM5",0.408
"TXLNGY",0.408
"DDX47",0.407
"MED16",0.407
"MYO5C",0.407
"RBL1",0.407
"SLX4",0.407
