"","x","dPSI_iPSC_1755497_3x","x","dPSI_iPSC_1949634_3x","x","dPSI_iPSC_2006152_3x","x","dPSI_iPSC_2059811_3x","x","dPSI_iPSC_2060573_3x","x","dPSI_iPSC_2060884_3x","x","dPSI_iPSC_2070692_3x","x","dPSI_iPSC_2135644_3x","x","dPSI_iPSC_2136770_3x","x","dPSI_NGN2_1755497_3x","x","dPSI_NGN2_1949634_3x","x","dPSI_NGN2_2006152_3x","x","dPSI_NGN2_2059811_3xM","x","dPSI_NGN2_2060573_3x","x","dPSI_NGN2_2060884_3x","x","dPSI_NGN2_2070692_3x","x","dPSI_NGN2_2135644_3x","x","dPSI_NGN2_2136770_3x"
"32",NA,NA,"TMEM214",0.91220630602662,"PRR13",0.307388737222857,"PDIA5",0.618664803329506,"ABCB8",0.718,"CDC37L1",0.840382744221882,"DHFR",0.670878260481137,"APLP2",0.488,"ZFP82",0.510629151658368,"MCAM",0.459023870577021,"HSD17B12",0.959979417365287,"SULF1",0.464661288116576,"FAM162A",0.802,"LRIG2",0.884659004434361,"SETX",0.958386589768259,"C12orf4",0.871407244420618,"DHFR",0.714150418088006,"GRAMD2B",0.750047648117202
"33",NA,NA,"TRAF3",0.907934787073289,"MYCBP2",0.307,"TSPAN2",0.612224570684686,"LRRC42",0.718,"AC114490.2",0.835476932350144,"ERGIC3",0.643,"ADAMTS19",0.485380727958489,"APLP2",0.497,"DHFR",0.458642857701118,"LARP7",0.958,"DLGAP4",0.459,"CPLX2",0.801158162932571,"AGGF1",0.883078592614884,"ARL15",0.958,"CHRM2",0.866139799114676,"ZMIZ2",0.711,"APIP",0.745172025239986
"34",NA,NA,"MMS22L",0.903863212366903,"ZFP82",0.304759169810112,"SENP6",0.61,"DHFR",0.714217971435039,"WDR27",0.831282301386169,"TASP1",0.632751143920898,"C14orf132",0.471063104042459,"PDXDC1",0.476578703752898,"MUTYH",0.449755488429477,"DENND1A",0.955742683628498,"NKAIN2",0.455656830254495,"SEC22A",0.792627313904693,"SETX",0.881092498121584,"GABRB2",0.95195446698379,"DHFR",0.863006706123245,"SENP6",0.709,"SENP6",0.744
"35",NA,NA,"DUS4L",0.903418723969557,"MADD",0.302,"PRPF31",0.608512904638216,"CRYM",0.711702564443901,"ADAMTS19",0.827291589201269,"MLLT10",0.630293198470069,"GALC",0.464,"GCFC2",0.466664449078539,"TAF2",0.449,"MDN1",0.953647827153475,"MELTF",0.452420104931301,"PDIA5",0.792076438191585,"TIAM1",0.867656907311018,"MACROD2",0.950157663612412,"SCO1",0.86,"DENND1A",0.707085928774405,"TNFRSF25",0.735
"36",NA,NA,"GNS",0.902629626229759,"NUP58",0.29075527647987,"SLC12A2",0.605008130911603,"STX18-AS1",0.698194018244886,"CACNA2D1",0.826792982694406,"ADAMTS19",0.619090775743156,"NOD1",0.455,"HSD17B4",0.466229097606362,"AC091729.3",0.438155057251527,"LMBRD2",0.953477382261012,"TAF2",0.443,"SENP6",0.78,"DHFR",0.863667708213559,"ATP8A2",0.947704284917172,"GXYLT1",0.855031147884512,"PCDH10",0.705320029563032,"HSD17B12",0.733809260208054
"37",NA,NA,"FBN2",0.902512785786489,"FBN2",0.290189086903792,"TENT2",0.590270681344001,"AXIN1",0.691,"RBBP8",0.82,"ANXA11",0.597,"GGCT",0.445,"RAP1A",0.465,"SNAI3-AS1",0.431539435670036,"PRPF31",0.951933441719097,"TIAM1",0.442312838970498,"FAM124A",0.779635362578061,"SF3B3",0.863038313349025,"SNX7",0.9467520293423,"LMAN2L",0.855,"PDIA5",0.704521384978275,"DENND1A",0.733040636489692
"38",NA,NA,"ATAD2B",0.902508672492902,"ZNF618",0.274798869325599,"EVC",0.589437260184728,"C14orf132",0.686318801955043,"GALC",0.817697465722447,"FOXM1",0.592,"FES",0.444042066234604,"UCHL1",0.461944397181145,"ERCC8",0.423559191747241,"DENND5A",0.951,"FAM110B",0.434449899936423,"LRIG2",0.779501851323519,"TAF2",0.862,"TET1",0.939232748654144,"ADAMTS10",0.850578373534457,"STX18-AS1",0.700647623255463,"DHFR",0.722743863864403
"39",NA,NA,"PPP1R26",0.901110858271968,"ADAMTS19",0.27137540233174,"APLP2",0.583,"CDC37L1",0.676593212120483,"CIP2A",0.813999551398554,"TARBP1",0.589,"TTTY14",0.443716073506911,"FAM162A",0.46,"C12orf4",0.419325106285347,"CHRM2",0.95030762561163,"SKP1",0.434,"CTTNBP2",0.777682139137408,"GXYLT1",0.861331806319219,"BECN1",0.937058955738343,"GALNT11",0.846888440016176,"RBBP8",0.694785977594186,"LINC02210",0.715735183913683
"40",NA,NA,"CDC37L1",0.899970696281579,"RAF1",0.270736278111926,"PPIP5K2",0.58122265422749,"EMSY",0.663103000333833,"ARHGEF35",0.813695331099064,"AXIN1",0.585,"CHD9",0.437,"ABCB8",0.458145786523324,"DENND4A",0.410144196167056,"VAV2",0.948153767059857,"DHFR",0.433083047517275,"USP9Y",0.772394186356811,"ABCB8",0.861,"LARP7",0.937,"LRIG2",0.845537338932031,"LRIG2",0.692884492192777,"CRYL1",0.715
"41",NA,NA,"MAN1A2",0.897151901822154,"TAF2",0.268831731144065,"SPIDR",0.578773320158136,"ANXA11",0.658,"DHFR",0.805751267495212,"DCAF17",0.581893818478182,"TMEM198B",0.435393379554201,"RAB2B",0.454394251585829,"MYCBP2",0.406,"MED13L",0.942251839732983,"NR1H3",0.431676874762862,"THSD7B",0.771492415528677,"ENOX1",0.858355652105789,"INO80",0.93545000584851,"THSD7B",0.845103999939638,"CLASP2",0.679888199230401,"ABCB8",0.714
"42",NA,NA,"FOCAD",0.892811781931368,"ABCB8",0.26436180254839,"CDC37L1",0.578697824994954,"PITPNB",0.655606089001309,"PRKG1",0.805662296992083,"TAF2",0.578,"FAM174A",0.434,"FRYL",0.451330720401712,"RAB3IP",0.406,"ARL15",0.942,"RBBP8",0.431526522920421,"ARL15",0.764,"AXIN1",0.853,"BTBD10",0.934384117455424,"EXOC6B",0.843,"C12orf4",0.6798342288505,"PIGN",0.706241793698704
