Row.names,dPSI_DMSO_CHX_vs_DMSO_EtOH,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_WT_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,dPSI_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,dPSI_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
AHI1,NA,-0.287261730128111,NA,NA,NA,NA,-0.261086687417367,NA,NA,NA
AKAP10,0.280299959890934,NA,0.274023324432329,0.272094389666262,0.271159775199612,0.364072376040388,0.32881074329447,0.261179338762072,NA,0.262879337393059
AKAP17A,-0.322878841046282,-0.369043599235641,-0.394381846432386,-0.29878946171765,NA,-0.335446032554013,NA,-0.303166143159601,-0.34685957638775,-0.350112946331654
AKAP8,-0.331322383863159,-0.364705874232294,-0.327065620161737,-0.271520663788108,NA,-0.283601713851941,-0.263457759780192,-0.282905182316514,-0.312650985961037,-0.313390875603565
AKAP8L,0.284680551984126,0.289857521386812,0.290162628080939,0.289507427294664,-0.477374639522473,0.290316363213466,0.276536492242715,0.282816668402483,0.286031431614942,0.308988211857621
AL009179.1,-0.289976547071451,NA,-0.29011762163392,NA,NA,NA,0.281096566725602,NA,-0.344932549468189,NA
AL096711.2,NA,NA,NA,NA,NA,NA,0.321956382138606,NA,NA,NA
AL109811.3,0.293890550575177,0.31524365421892,NA,NA,NA,NA,NA,NA,NA,0.252696741396657
AL136982.6,NA,0.252846501692182,NA,NA,NA,NA,NA,NA,NA,NA
AL139317.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493124484341988
AL390195.2,NA,NA,NA,NA,-0.440050742252957,NA,NA,NA,NA,NA
AL512353.1,-0.304383942887408,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL590705.3,NA,NA,NA,NA,NA,NA,NA,NA,0.308596103136027,NA
AL669831.1,NA,NA,NA,0.278188562545945,NA,0.257411233763319,NA,NA,NA,NA
ALG13,NA,NA,NA,NA,NA,-0.273467715568073,-0.332061248772663,NA,NA,NA
ALKBH1,NA,NA,0.253373131255052,NA,NA,NA,NA,NA,NA,NA
AMHR2,NA,NA,NA,0.251639141852912,NA,NA,NA,NA,NA,NA
ANAPC10,NA,NA,NA,0.256937817360928,NA,NA,NA,NA,NA,NA
ANAPC1P1,0.279715912896518,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANKHD1,NA,NA,NA,-0.300188178123381,-0.357998421697065,NA,NA,NA,NA,NA
ANKIB1,NA,-0.300885152116783,-0.327755070603106,-0.308945877878923,-0.286194347587641,-0.260783680386561,NA,-0.337175154349346,-0.309464102196524,-0.345882826099749
ANKLE2,NA,NA,-0.264284058375486,-0.256020250285788,NA,-0.255961027213655,-0.269352381176877,0.256657345110268,-0.253001298516496,-0.25026289106129
ANKRA2,-0.271983775634623,-0.268181694622694,-0.252252948171639,-0.316109449842966,NA,NA,-0.254371209497018,NA,-0.309688190233156,NA
ANKRD10,-0.276450543408531,NA,-0.325763995271208,NA,NA,-0.259738399806608,NA,-0.258425215377301,-0.286224492535241,NA
ANKRD13C,NA,NA,NA,NA,NA,NA,NA,-0.261417276262366,NA,NA
