"Index1_iPSC_2006152_3x_Gene.Name","log2FoldChange","Index2_iPSC_2139701_3x_Gene.Name","log2FoldChange.1","Index3_iPSC_2174714_3x_Gene.Name","log2FoldChange.2","Index4_iPSC_2174748_3x_Gene.Name","log2FoldChange.3","Index5_iPSC_2175420_3x_Gene.Name","log2FoldChange.4","Index6_iPSC_2184088_3x_Gene.Name","log2FoldChange.5","Index7_iPSC_2184090_3x_Gene.Name","log2FoldChange.6","Index8_iPSC_2184741_3x_Gene.Name","log2FoldChange.7","Index9_iPSC_2186527_3x_Gene.Name","log2FoldChange.8","Index10_iPSC_2186866_3x_Gene.Name","log2FoldChange.9","Index11_iPSC_2186960_3x_Gene.Name","log2FoldChange"
NA,NA,NA,NA,NA,NA,NA,NA,"FGFR3"," -0.7472817","LRRIQ1","-1.0070549",NA,NA,"NPTX1"," -0.9574852",NA,NA,"TET1",-1.12046235216814,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"IGDCC4"," -0.6040142","MAOA","-0.7791356",NA,NA,"FHOD3"," -1.6074916",NA,NA,"HLTF",-0.872509381995866,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"TNS3"," -0.7162474",NA,NA,NA,NA,"TSPAN2"," -0.9458280",NA,NA,"HAUS3",-0.862779888410254,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"APPL2"," -0.6051973",NA,NA,NA,NA,"SNAP23"," -0.6437474",NA,NA,"CEP170",-0.653869143176928,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"CEP250"," -0.6849015",NA,NA,NA,NA,"SNURF"," -1.1632124",NA,NA,"HDAC9",-0.707513300067883,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"HAUS3"," -0.7160707",NA,NA,NA,NA,"AC244033.2"," -0.9432947",NA,NA,"COL4A5",-0.685590786199647,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"HDAC9"," -0.5907887",NA,NA,NA,NA,"AP001267.5"," -1.4401566",NA,NA,"SREK1",-0.797875659431147,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"MICAL2"," -0.7472325",NA,NA,NA,NA,"DNM3"," -0.9762748",NA,NA,"ASIC1",-0.896122506330763,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"RASGRF2"," -0.6950566",NA,NA,NA,NA,"KCNT2"," -0.9507397",NA,NA,"LNPK",-0.915697789293094,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"DLG2"," -0.6969692",NA,NA,NA,NA,"CIP2A"," -0.7655489",NA,NA,"CDK20",-0.862772802303961,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"TET1"," -0.8357330",NA,NA,NA,NA,"LNPK"," -0.7839177",NA,NA,"PI4K2B",-0.789776319279575,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"DNM3"," -0.9096053",NA,NA,NA,NA,"F13A1"," -0.6527330",NA,NA,"CCDC3",-0.824723472646314,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"AC048341.1"," -0.6312773",NA,NA,NA,NA,"MAOA"," -0.7914635",NA,NA,"ARL15",-0.883670492941975,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"MSTO2P"," -1.8694122",NA,NA,NA,NA,NA,NA,NA,NA,"GALNT9",-0.894091866390462,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"TPPP"," -0.6790402",NA,NA,NA,NA,NA,NA,NA,NA,"KCNT2",-0.993513544465448,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"DIAPH3"," -0.7203825",NA,NA,NA,NA,NA,NA,NA,NA,"CAND2",-0.682621166260436,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"F13A1"," -0.6364539",NA,NA,NA,NA,NA,NA,NA,NA,"PMS1",-0.73628531268162,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"MYO6"," -0.7940660",NA,NA,NA,NA,NA,NA,NA,NA,"TNS3",-0.664800875422641,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"ZNF37BP"," -0.8330947",NA,NA,NA,NA,NA,NA,NA,NA,"RASGRF2",-0.721831317755613,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"GNAQ"," -0.6530158",NA,NA,NA,NA,NA,NA,NA,NA,"TSPAN7",-0.696422191254619,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"TSPAN7"," -0.6237227",NA,NA,NA,NA,NA,NA,NA,NA,"MAN2A1",-0.686495277252719,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"LEFTY1"," -0.6365327",NA,NA,NA,NA,NA,NA,NA,NA,"DNM3",-0.900586839475631,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"GP1BB"," -4.4154509",NA,NA,NA,NA,NA,NA,NA,NA,"LYPLAL1",-0.643831983613555,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"LINC02762"," -1.3541354",NA,NA,NA,NA,NA,NA,NA,NA,"CA13",-0.810774982319075,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"AC241952.2"," -1.1436969",NA,NA,NA,NA,NA,NA,NA,NA,"MAOA",-0.815999480566386,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"SYNE2"," -0.7093745",NA,NA,NA,NA,NA,NA,NA,NA,"OPRL1",-0.935516557875171,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"OPRL1"," -0.8860088",NA,NA,NA,NA,NA,NA,NA,NA,"MYO6",-0.80017637981444,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"PLXNA3"," -0.7238044",NA,NA,NA,NA,NA,NA,NA,NA,"MACROD2",-0.680764748755899,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"LNPK"," -0.6720262",NA,NA,NA,NA,NA,NA,NA,NA,"AL513534.3",-1.05698664732556,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"KCNMB3"," -1.1031118",NA,NA,NA,NA,NA,NA,NA,NA,"AC114811.2",-1.19113820492242,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"GARNL3"," -0.7742374",NA,NA,NA,NA,NA,NA,NA,NA,"MAGI2-AS3",-0.80132797589814,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGGF1",-0.615727157047042,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNURF",-0.937808538806507,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEP85L",-0.642152257849258,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CADM2",-0.692632269922599,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAMP4",-0.722082847161261,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL845472.2",-4.34397122461321,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAM201A",-0.764062816521752,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAM218A",-0.84227079624739,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CYP7B1",-0.782708450369818,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GNG10",-0.701608975375319,NA,NA
