"","X","dPSI_iPSC_1755497_3x","X","dPSI_iPSC_2006152_3x","X","dPSI_iPSC_2189972_3x","X","dPSI_iPSC_2194943_3x","X","dPSI_iPSC_2195127_3x","X","dPSI_iPSC_2195327_3x","X","dPSI_iPSC_2197294_3x","X","dPSI_NGN2_1755497_3x","X","dPSI_NGN2_2006152_3x","X","dPSI_NGN2_2189972_3x","X","dPSI_NGN2_2194943_3x","X","dPSI_NGN2_2195127_3x","X","dPSI_NGN2_2195327_3x","X","dPSI_NGN2_2197294_3x","X","dPSI_Sy5Y_1755497_3x","X","dPSI_Sy5Y_2006152_3x","X","dPSI_Sy5Y_2189972_3x","X","dPSI_Sy5Y_2194943_3x","X","dPSI_Sy5Y_2195127_3x"
"33",NA,NA,NA,NA,"ABCB8",0.316,NA,NA,NA,NA,"VPS29",0.278016207213773,NA,NA,"TET1",0.458517902901482,"LRRC42",0.384,"DENND1A",0.307634210897627,"WDR17",0.343294097822353,"TENT2",0.328558710982312,"TAF2",0.315,"DHFR",0.310230002883282,"SPATA13",0.311,"SKP1",0.444169367286255,"CHEK1",0.336,NA,NA,"MADD",0.434
"34",NA,NA,NA,NA,"NOD1",0.315,NA,NA,NA,NA,"LINC02210",0.268757040578041,NA,NA,"XRN2",0.456724254818858,"PHOX2B-AS1",0.382207912824153,"SNHG14",0.305,"LINC00963",0.338,"NUP58",0.327996016783285,"STRN3",0.309,"RAF1",0.307,"FAAP20",0.31,"MACROD2",0.436431111380793,"PHOX2B-AS1",0.329131990204886,NA,NA,"KDM6A",0.423
"35",NA,NA,NA,NA,"SCHIP1",0.305,NA,NA,NA,NA,"EXOC6B",0.266856935846938,NA,NA,"ZFP82",0.44661855935343,"SERGEF",0.381,"AC138894.1",0.301,"SKP1",0.331,"SENP6",0.326799908094006,"ZFP82",0.305770420824269,"CLN3",0.3,"VPS29",0.31,"FOXM1",0.431,"KIF27",0.329,NA,NA,"SPRY4-AS1",0.42215669138158
"36",NA,NA,NA,NA,"EXOC6B",0.301584696439052,NA,NA,NA,NA,"AXIN1",0.255728198769075,NA,NA,"GPHN",0.438768883792266,"LINC00963",0.377,"LINC02210",0.276412971172703,"SLC25A17",0.33,"STRN3",0.315,"NUP58",0.286406128546287,"ENAH",0.292082237580207,"CACNA2D1",0.309662292000614,"DUXAP9",0.430413966224786,"ENAH",0.327357640394972,NA,NA,"ZNF37BP",0.415406536148478
"37",NA,NA,NA,NA,"C12orf4",0.292768800074213,NA,NA,NA,NA,NA,NA,NA,NA,"NAIP",0.438131144046473,"EXOC6B",0.37367138604472,"NKAIN2",0.273153409464782,"DLGAP4",0.324,"AC138894.1",0.313,"KLHL1",0.279023087213389,"MACF1",0.267625931199684,"LARP7",0.304,"TTC5",0.43,"KDM6A",0.315,NA,NA,"MYCBP2",0.414
"38",NA,NA,NA,NA,"VPS29",0.288753296347293,NA,NA,NA,NA,NA,NA,NA,NA,"STXBP5L",0.432767109167842,"TRIM27",0.371,"ASCC3",0.267847186965825,"CLN3",0.319,"ZFP82",0.295594034239268,"EXOC6B",0.263286127254161,"SVOPL",0.26422455831685,"VDAC3",0.298989892053455,"ATR",0.429,"SMN2",0.310463858867357,NA,NA,"ADAMTS19",0.412218956458702
"39",NA,NA,NA,NA,"ZNF618",0.268398603108738,NA,NA,NA,NA,NA,NA,NA,NA,"KDM6A",0.429,"WDR27",0.351208761489952,"STRN",0.265470287083856,"ADAM17",0.318,"PNISR",0.294345764513897,"ASCC3",0.260953734020733,NA,NA,"PHOX2B-AS1",0.29280867925045,"AL713999.1",0.425503276303506,"GGCT",0.308,NA,NA,"APPL2",0.408761631313412
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIN37",0.423,"AXIN1",0.34078368169781,"KDM6A",0.253568530559052,"STXBP5L",0.3131944813688,"ADAM17",0.284096868473541,"ENAH",0.251019316993391,NA,NA,"MAOA",0.264619453404867,"HIVEP3",0.424128681838387,"STRN3",0.307,NA,NA,"TIAM1",0.408487178046519
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC026786.1",0.419080969939584,"STXBP5L",0.33857197286733,NA,NA,"EXOC6B",0.302089083565486,"ENAH",0.275592851132159,NA,NA,NA,NA,NA,NA,"CORO6",0.42,"SLC25A17",0.30154142186872,NA,NA,"TENT2",0.402144554730257
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STRN",0.417822961470685,"STRN",0.332108487728445,NA,NA,"SERGEF",0.302,"STRN",0.256018295564858,NA,NA,NA,NA,NA,NA,"VPS29",0.415,"FRY",0.297934243084726,NA,NA,"SDCBP2-AS1",0.402
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RBBP8",0.414568684701718,"RAPGEF1",0.332,NA,NA,"SNHG5",0.289558562508612,"AXIN1",0.253683932664095,NA,NA,NA,NA,NA,NA,"EXOC6B",0.414,"EXOC6B",0.29732390272975,NA,NA,"AL713999.1",0.392439564839433
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MORN1",0.410628201310922,"FIGNL1",0.331,NA,NA,"CDC37L1",0.282955602256759,NA,NA,NA,NA,NA,NA,NA,NA,"CLK4",0.41,"FOXM1",0.290923321261632,NA,NA,"HAUS3",0.391569614174343
